Response,Factor,Group 1,Group 2,Mean Difference,p-adjusted,Lower,Upper,Significant
UTS,PVA,1,2,0.1276,0.9012,-0.5821,0.8373,False
UTS,PVA,1,3,1.2386,0.0003,0.5289,1.9483,True
UTS,PVA,2,3,1.111,0.0007,0.4343,1.7877,True
