Response,Factor,Group 1,Group 2,Mean Difference,p-adjusted,Lower,Upper,Significant
Solubilitas,CMC,1,2,-0.0486,0.4317,-0.1429,0.0456,False
Solubilitas,CMC,1,3,-0.1011,0.0241,-0.191,-0.0112,True
Solubilitas,CMC,2,3,-0.0525,0.3767,-0.1467,0.0418,False
Solubilitas,PVA,1,2,-0.0888,0.0338,-0.1718,-0.0057,True
Solubilitas,PVA,1,3,-0.1659,0.0,-0.249,-0.0828,True
Solubilitas,PVA,2,3,-0.0771,0.0578,-0.1563,0.0021,False
Solubilitas,Plasticizer,Gliserol,Sorbitol,-0.1431,0.0,-0.1958,-0.0904,True
