Response,Factor,Group 1,Group 2,Mean Difference,p-adjusted,Lower,Upper,Significant
Opasitas,CMC,1,2,0.4572,0.0,0.293,0.6215,True
Opasitas,CMC,1,3,0.9223,0.0,0.7657,1.079,True
Opasitas,CMC,2,3,0.4651,0.0,0.3008,0.6294,True
