Sheet,Response,Formulation,Replicate,CMC,PVA,Plasticizer,source_file,source_sheet,source_block,source_row,Value
Kelarutan Matriks,FTL,L,3.0,3.0,3.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,39,3.300000000000003
Kelarutan Matriks,FTL,A,1.0,1.0,0.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,44,14.399999999999991
Kelarutan Matriks,FTL,A,2.0,1.0,0.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,45,13.900000000000023
Kelarutan Matriks,FTL,A,3.0,1.0,0.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,46,14.700000000000024
Kelarutan Matriks,FTL,B,1.0,1.0,1.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,47,8.200000000000006
Kelarutan Matriks,FTL,B,2.0,1.0,1.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,48,8.299999999999997
Kelarutan Matriks,FTL,B,3.0,1.0,1.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,49,7.9999999999999964
Kelarutan Matriks,FTL,C,1.0,1.0,2.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,50,4.799999999999996
Kelarutan Matriks,FTL,C,2.0,1.0,2.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,51,4.899999999999993
Kelarutan Matriks,FTL,C,3.0,1.0,2.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,52,4.966666666666667
Kelarutan Matriks,FTL,D,1.0,1.0,3.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,53,2.200000000000002
Kelarutan Matriks,FTL,D,2.0,1.0,3.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,54,2.1999999999999966
Kelarutan Matriks,FTL,D,3.0,1.0,3.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,55,2.3249999999999993
Kelarutan Matriks,FTL,E,1.0,2.0,0.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,56,4.600000000000004
Kelarutan Matriks,FTL,E,2.0,2.0,0.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,57,4.649999999999999
Kelarutan Matriks,FTL,E,3.0,2.0,0.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,58,4.449999999999998
Kelarutan Matriks,FTL,F,1.0,2.0,1.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,59,9.933333333333326
Kelarutan Matriks,FTL,F,2.0,2.0,1.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,60,10.033333333333331
Kelarutan Matriks,FTL,F,3.0,2.0,1.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,61,9.766666666666664
Kelarutan Matriks,FTL,G,1.0,2.0,2.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,62,5.450000000000005
Kelarutan Matriks,FTL,G,2.0,2.0,2.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,63,5.499999999999994
Kelarutan Matriks,FTL,G,3.0,2.0,2.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,64,5.449999999999999
Kelarutan Matriks,FTL,H,1.0,2.0,3.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,65,2.34
Kelarutan Matriks,FTL,H,2.0,2.0,3.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,66,2.2799999999999976
