Sorbitol,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Kode,Ulangan,UTS,Rata-rata,STDEV,Elongasi (%),Rata-rata,STDEV
Bs,1,0.3012048192771084,0.2811244979919678,0.09201959226818954,16.666666666666664,29.296296296296294,11.02541023190943
,2,0.36144578313253006,,,34.22222222222222,,
,3,0.18072289156626503,,,37,,
Cs,1,1.0526315789473684,1.2280701754385965,0.30386856273138274,56.666666666666664,53.555555555555564,17.761103291278275
,2,1.5789473684210527,,,69.55555555555556,,
,3,1.0526315789473684,,,34.44444444444444,,
Ds,1,3.333333333333333,4.1269841269841265,0.72739296745331,114.55555555555554,199.4074074074074,81.17960071358105
,2,4.285714285714286,,,207.33333333333331,,
,3,4.761904761904762,,,276.3333333333333,,
Gs,1,1.7699115044247786,1.4749262536873156,0.5109294417607307,71.11111111111111,62.55555555555555,8.194397363329943
,2,1.7699115044247786,,,61.77777777777778,,
,3,0.8849557522123893,,,54.77777777777777,,
Hs,1,1.8656716417910446,1.6169154228855718,0.21542920492150447,113.99999999999999,139.8148148148148,28.667169102688607
,2,1.4925373134328357,,,170.66666666666666,,
,3,1.4925373134328357,,,134.77777777777777,,
Js,1,0.9523809523809523,0.7936507936507935,0.2749286996141082,104.55555555555556,72.03703703703705,31.907531007262566
,2,0.47619047619047616,,,40.77777777777778,,
,3,0.9523809523809523,,,70.77777777777779,,
Ks,1,2.6086956521739126,2.0289855072463765,0.5020437123388033,55.77777777777778,66.85185185185185,13.190125998955148
,2,1.7391304347826084,,,81.44444444444444,,
,3,1.7391304347826084,,,63.33333333333333,,
Ls,1,2.6315789473684212,2.2807017543859645,0.30386856273138635,66.11111111111111,104.85185185185185,38.232772015210685
,2,2.1052631578947367,,,105.88888888888887,,
,3,2.1052631578947367,,,142.55555555555557,,
,,,,,,,
,,,,,,,
Gliserol,,,,,,,
Kode,Ulangan,UTS,Rata-rata,STDEV,Elongasi (%),Rata-rata,STDEV
Bg,1,0.9375000000000001,0.8958333333333335,0.6676425149567525,38,38.592592592592595,7.462112808850857
,2,1.5416666666666667,,,46.333333333333336,,
,3,0.20833333333333334,,,31.444444444444446,,
Cg,1,0.9523809523809523,0.9523809523809522,1.3597399555105182e-16,88.88888888888889,87.62962962962963,3.1920683594689243
,2,0.9523809523809523,,,84,,
,3,0.9523809523809523,,,90,,
Dg,1,3.3333333333333335,3.111111111111111,0.3849001794597491,366.55555555555554,305.6296296296296,71.29267908091953
,2,3.3333333333333335,,,227.22222222222223,,
,3,2.6666666666666665,,,323.11111111111114,,
Fg,1,2.1052631578947367,2.1052631578947367,0,128.66666666666666,139.4814814814815,18.731808733707755
,2,2.1052631578947367,,,161.11111111111111,,
,3,2.1052631578947367,,,128.66666666666666,,
Gg,1,0.8333333333333334,1.1111111111111112,0,42.55555555555555,50.22222222222222,7.263131997957417
,2,1.6666666666666667,,,56.99999999999999,,
,3,0.8333333333333334,,,51.11111111111111,,
Hg,1,2.142857142857143,1.9047619047619044,0.48112522432468807,113.33333333333333,94.4074074074074,20.346484312242
,2,1.4285714285714284,,,72.88888888888889,,
,3,2.142857142857143,,,97,,
Jg,1,1.36986301369863,1.36986301369863,0.4123930494211618,63.66666666666666,63.81481481481481,27.22252456370277
,2,1.36986301369863,,,36.666666666666664,,
,3,1.36986301369863,,,91.11111111111111,,
Kg,1,0.5050505050505051,0.5050505050505051,0,45.55555555555556,40.11111111111111,9.7201585111294
,2,0.5050505050505051,,,28.888888888888886,,
,3,0.5050505050505051,,,45.888888888888886,,
Lg,1,0.9259259259259258,0.9259259259259259,0,53,57.40740740740741,7.064371861265424
,2,0.9259259259259258,,,53.666666666666664,,
,3,0.9259259259259258,,,65.55555555555556,,
