Sorbitol,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Kode (CMC, PVA)",U,D (cm),Luas A (¼ꙥD²) m²,W0 (g),W6 (g),W12 (g),W18 (g),W24 (g),∆W (W24 - W0),WVTR (∆W/(txA)) g/m²∙24 jam,Rata-rata,STDEV,Keterangan
"B (1%, 1%)",1,4.2,0.0013854411900000002,35.105,35.109,35.114,35.118,35.123,0.018000000000000682,12.992251226485246,12.21993550151752,0.7270772511771866,Tinggi
,2,4.2,0.0013854411900000002,34.95,34.954,34.958,34.962,34.966,0.015999999999998238,11.548667756874066,,,
,3,4.1,0.0013202531974999996,35.02,35.024,35.028,35.032,35.036,0.015999999999998238,12.118887521193255,,,
"C (1%, 2%)",1,4.2,0.0013854411900000002,35.11,35.114,35.117,35.121,35.125,0.015000000000000568,10.826876022071039,11.371700610788922,0.7841781817995989,Tinggi
,2,4.2,0.0013854411900000002,34.96,34.964,34.968,34.973,34.977,0.016999999999995907,12.270459491677093,,,
,3,4.3,0.0014521999774999997,35.04,35.044,35.048,35.052,35.056,0.015999999999998238,11.017766318618635,,,
"D (1%, 3%)",1,4.2,0.0013854411900000002,35.115,35.117,35.12,35.123,35.125,0.00999999999999801,7.21791734804565,6.496125613242623,0.7217917348030265,Sedang
,2,4.2,0.0013854411900000002,34.97,34.972,34.975,34.977,34.979,0.009000000000000341,6.496125613242623,,,
,3,4.2,0.0013854411900000002,35.05,35.052,35.054,35.056,35.058,0.008000000000002672,5.774333878439597,,,
"G (2%, 2%)",1,4.2,0.0013854411900000002,35.12,35.124,35.128,35.132,35.136,0.016000000000005343,11.548667756879194,11.005069698422522,0.7850109982069629,Tinggi
,2,4.2,0.0013854411900000002,34.98,34.983,34.987,34.99,34.994,0.014000000000002899,10.105084287268014,,,
,3,4.1,0.0013202531974999996,35.06,35.064,35.068,35.071,35.075,0.015000000000000568,11.361457051120357,,,
"H (2%, 3%)",1,4.2,0.0013854411900000002,35.125,35.127,35.129,35.131,35.133,0.008000000000002672,5.774333878439597,5.9264475503313285,0.510897095894217,Sedang
,2,4.2,0.0013854411900000002,34.99,34.992,34.995,34.997,34.999,0.009000000000000341,6.496125613242623,,,
,3,4.3,0.0014521999774999997,35.07,35.072,35.074,35.076,35.078,0.008000000000002672,5.508883159311765,,,
"J (3%, 1%)",1,4.2,0.0013854411900000002,35.13,35.133,35.136,35.139,35.142,0.012000000000000455,8.661500817656831,7.939709082852096,0.7217917348055907,Sedang
,2,4.2,0.0013854411900000002,35,35.002,35.005,35.007,35.01,0.00999999999999801,7.21791734804565,,,
,3,4.2,0.0013854411900000002,35.08,35.083,35.086,35.088,35.091,0.011000000000002785,7.939709082853805,,,
"K (3%, 2%)",1,4.2,0.0013854411900000002,35.135,35.137,35.139,35.142,35.144,0.009000000000000341,6.496125613242623,6.614921397475778,0.9058466034883931,Sedang
,2,4.2,0.0013854411900000002,35.01,35.012,35.014,35.016,35.018,0.008000000000002672,5.774333878439597,,,
,3,4.1,0.0013202531974999996,35.09,35.092,35.095,35.098,35.1,0.00999999999999801,7.574304700745111,,,
"L (3%, 3%)",1,4.2,0.0013854411900000002,35.14,35.142,35.144,35.146,35.148,0.008000000000002672,5.774333878439597,5.6969107520256514,0.8406048109103863,Sedang
,2,4.3,0.0014521999774999997,35.02,35.022,35.024,35.025,35.027,0.006999999999997897,4.820272764394736,,,
,3,4.2,0.0013854411900000002,35.1,35.102,35.105,35.107,35.109,0.009000000000000341,6.496125613242623,,,
,,,,,,,,,,,,,
Gliserol,,,,,,,,,,,,,
"Kode (CMC, PVA)",U,D (cm),Luas A (¼ꙥD²) m²,W0 (g),W6 (g),W12 (g),W18 (g),W24 (g),∆W (W24 - W0),WVTR (∆W/A) g/m²∙24 jam,Rata-rata,STDEV,Keterangan
"B (1%, 1%)",1,4.1,0.0013202531974999996,35.105,35.11,35.115,35.119,35.124,0.019000000000005457,14.391178931422708,13.948082817029011,0.8285064467432088,Tinggi
,2,4.3,0.0014521999774999997,34.95,34.955,34.96,34.966,34.971,0.02099999999999369,14.460818293184207,,,
,3,4.2,0.0013854411900000002,35.02,35.025,35.029,35.034,35.038,0.017999999999993577,12.992251226480118,,,
"C (1%, 2%)",1,4.2,0.0013854411900000002,35.11,35.115,35.119,35.124,35.128,0.018000000000000682,12.992251226485246,11.967458678159892,0.8924190649098571,Tinggi
,2,4.1,0.0013202531974999996,34.96,34.964,34.968,34.971,34.975,0.015000000000000568,11.361457051120357,,,
,3,4.2,0.0013854411900000002,35.04,35.044,35.048,35.052,35.056,0.015999999999998238,11.548667756874066,,,
"D (1%, 3%)",1,4.3,0.0014521999774999997,35.115,35.119,35.123,35.127,35.131,0.015999999999998238,11.017766318618635,10.82810255233567,0.6493053123284717,Tinggi
,2,4.2,0.0013854411900000002,34.97,34.973,34.977,34.98,34.984,0.014000000000002899,10.105084287268014,,,
,3,4.1,0.0013202531974999996,35.05,35.054,35.058,35.061,35.065,0.015000000000000568,11.361457051120357,,,
"F (2%, 1%)",1,4.2,0.0013854411900000002,35.12,35.125,35.13,35.134,35.139,0.019000000000005457,13.714042961293401,13.25223678374923,0.8507413110853717,Tinggi
,2,4.2,0.0013854411900000002,34.98,34.984,34.988,34.993,34.997,0.017000000000003013,12.270459491682221,,,
,3,4.3,0.0014521999774999997,35.06,35.065,35.07,35.075,35.08,0.01999999999999602,13.772207898272072,,,
"G (2%, 2%)",1,4.1,0.0013202531974999996,35.125,35.129,35.133,35.137,35.141,0.015999999999998238,12.118887521193255,11.738741011648836,0.7933264365775082,Tinggi
,2,4.2,0.0013854411900000002,34.99,34.994,34.997,35.001,35.005,0.015000000000000568,10.826876022071039,,,
,3,4.2,0.0013854411900000002,35.07,35.074,35.078,35.083,35.087,0.017000000000003013,12.270459491682221,,,
"H (2%, 3%)",1,4.2,0.0013854411900000002,35.13,35.134,35.137,35.141,35.144,0.013999999999995794,10.105084287262883,10.575625728976325,0.4570033685747735,Tinggi
,2,4.3,0.0014521999774999997,35,35.004,35.008,35.012,35.016,0.015999999999998238,11.017766318618635,,,
,3,4.1,0.0013202531974999996,35.08,35.084,35.087,35.091,35.094,0.014000000000002899,10.60402658104746,,,
"J (3%, 1%)",1,4.2,0.0013854411900000002,35.135,35.14,35.144,35.149,35.153,0.018000000000000682,12.992251226485246,13.50389447531387,0.8083752018146644,Tinggi
,2,4.2,0.0013854411900000002,35.01,35.015,35.02,35.025,35.03,0.020000000000003126,14.435834696096428,,,
,3,4.3,0.0014521999774999997,35.09,35.095,35.1,35.104,35.109,0.01899999999999835,13.083597503359936,,,
"K (3%, 2%)",1,4.1,0.0013202531974999996,35.14,35.144,35.147,35.151,35.154,0.014000000000002899,10.60402658104746,10.271398385191077,0.7771514948444522,Tinggi
,2,4.2,0.0013854411900000002,35.02,35.024,35.028,35.031,35.035,0.014999999999993463,10.82687602206591,,,
,3,4.2,0.0013854411900000002,35.1,35.103,35.106,35.11,35.113,0.012999999999998124,9.383292552459858,,,
"L (3%, 3%)",1,4.3,0.0014521999774999997,35.145,35.149,35.153,35.156,35.16,0.014999999999993463,10.329155923701608,10.598565754029993,0.6701151937881064,Tinggi
,2,4.1,0.0013202531974999996,35.03,35.034,35.038,35.042,35.045,0.015000000000000568,11.361457051120357,,,
,3,4.2,0.0013854411900000002,35.11,35.114,35.117,35.121,35.124,0.014000000000002899,10.105084287268014,,,
