Response,Source,df,Sum Sq,Mean Sq,F,p-value,Decision,Type
Solubilitas,CMC,2.0,0.09214299293671077,0.046071496468355386,14.1728697972015,1.68401705322633e-05,Tolak H₀ (Signifikan),2
Solubilitas,PVA,2.0,0.1884395754796701,0.09421978773983505,28.984619261800002,8.15385127930439e-09,Tolak H₀ (Signifikan),2
Solubilitas,Plasticizer,1.0,0.22123648843227184,0.22123648843227184,68.05847834993484,1.4968403524972428e-10,Tolak H₀ (Signifikan),2
Solubilitas,Residual,45.0,0.14628070184383962,0.003250682263196436,,,,2
