Response,Source,df,Sum Sq,Mean Sq,F,p-value,Decision,Type
Opasitas,CMC,2.0,7.658258394245993,3.8291291971229966,115.02022516037353,2.0457790447138708e-18,Tolak H₀ (Signifikan),2
Opasitas,PVA,2.0,0.20615260201572325,0.10307630100786162,3.096228604542918,0.05497270421355974,Gagal menolak H₀ (Tidak Signifikan),2
Opasitas,Plasticizer,1.0,0.07818657016558832,0.07818657016558832,2.348585394224932,0.132397652015147,Gagal menolak H₀ (Tidak Signifikan),2
Opasitas,Residual,45.0,1.4980914324439953,0.033290920720977675,,,,2
