Response,Source,df,Sum Sq,Mean Sq,F,p-value,Decision,Type
Kelarutan,CMC,2.0,29.48971234567857,14.744856172839285,867.3995987399246,2.105384294816723e-38,Tolak H₀ (Signifikan),2
Kelarutan,PVA,3.0,916.2863574074,305.4287858024667,17967.540893121306,3.395805508548535e-73,Tolak H₀ (Signifikan),2
Kelarutan,Plasticizer,1.0,1.2473223765443118,1.2473223765443118,73.37656713849981,3.1144780112994276e-11,Tolak H₀ (Signifikan),2
Kelarutan,CMC × PVA,6.0,205.60526296296186,34.26754382716031,2015.8659682441657,6.829340939434048e-56,Tolak H₀ (Signifikan),2
Kelarutan,CMC × Plasticizer,2.0,8.474083641976247,4.237041820988123,249.25359273014024,4.4410806811041166e-26,Tolak H₀ (Signifikan),2
Kelarutan,PVA × Plasticizer,3.0,25.10969429012383,8.369898096707944,492.3782345162426,4.931561870370032e-36,Tolak H₀ (Signifikan),2
Kelarutan,CMC × PVA × Plasticizer,6.0,22.17017191358021,3.695028652263368,217.36843904992793,4.858409660382204e-33,Tolak H₀ (Signifikan),2
Kelarutan,Residual,48.0,0.8159481481481452,0.01699891975308636,,,,2
