Response,Group_By,Group_Levels,N,Mean,SD,SE,Min,Max
FTL,CMC,1.0,24,7.063888888888889,4.855354424359912,0.991095071670544,2.1999999999999966,15.1
FTL,CMC,2.0,24,5.854722222222222,2.8804698299450773,0.5879734419039061,2.2799999999999976,10.033333333333331
FTL,CMC,3.0,24,7.323333333333333,4.406826034742362,0.8995395975276067,2.2333333333333356,13.800000000000004
FTL,PVA,0.0,18,11.645370370370369,3.807589623849398,0.8974574809998151,4.449999999999998,15.1
FTL,PVA,1.0,18,8.571296296296294,1.3078140664997042,0.3082547316510318,5.949999999999999,10.033333333333331
FTL,PVA,2.0,18,4.091296296296296,0.9035343737571008,0.2129650942395955,2.6666666666666687,5.499999999999994
FTL,PVA,3.0,18,2.6812962962962965,0.4534737223348459,0.1068847813842917,2.1999999999999966,3.4999999999999996
FTL,Plasticizer,Gliserol,36,6.615694444444445,4.064784563982122,0.6774640939970203,2.1999999999999966,14.700000000000024
FTL,Plasticizer,Sorbitol,36,6.878935185185183,4.241511376197067,0.7069185626995113,2.6666666666666687,15.1
FTL,Formulation,A,6,14.65,0.4415880433163827,0.1802775637731955,13.900000000000023,15.1
FTL,Formulation,B,6,7.175,1.0985217339679727,0.4484696199298234,5.949999999999999,8.299999999999997
FTL,Formulation,C,6,3.8222222222222215,1.170881276203081,0.478010279346054,2.6666666666666687,4.966666666666667
FTL,Formulation,D,6,2.608333333333333,0.4045573712919675,0.1651598552245,2.1999999999999966,2.9999999999999973
FTL,Formulation,E,6,6.808333333333333,2.4607756229828555,1.0046074412978985,4.449999999999998,9.249999999999991
FTL,Formulation,F,6,9.405555555555551,0.561512507693545,0.2292365213399665,8.833333333333337,10.033333333333331
FTL,Formulation,G,6,4.608333333333333,0.9421606374003662,0.384635469561043,3.650000000000003,5.499999999999994
FTL,Formulation,H,6,2.596666666666667,0.2913188402192132,0.118930418499409,2.2799999999999976,2.9000000000000004
FTL,Formulation,I,6,13.477777777777776,0.3208784239598582,0.1309980680283508,13.1,13.800000000000004
FTL,Formulation,J,6,9.133333333333333,0.8598934042465151,0.3510500122647912,8.274999999999999,9.949999999999998
FTL,Formulation,K,6,3.843333333333333,0.1886442860694843,0.0770137072936429,3.5800000000000054,4.019999999999997
FTL,Formulation,L,6,2.838888888888889,0.6370650295314062,0.260080709220507,2.2333333333333356,3.4999999999999996
FTL,Formulation x Plasticizer,A_Gliserol,3,14.333333333333348,0.4041451884327357,0.233333333333332,13.900000000000023,14.700000000000024
FTL,Formulation x Plasticizer,A_Sorbitol,3,14.966666666666654,0.1527525231652103,0.0881917103688287,14.799999999999969,15.1
FTL,Formulation x Plasticizer,B_Gliserol,3,8.166666666666666,0.1527525231651958,0.0881917103688203,7.9999999999999964,8.299999999999997
FTL,Formulation x Plasticizer,B_Sorbitol,3,6.183333333333333,0.2081665999466135,0.1201850425154665,5.949999999999999,6.35
FTL,Formulation x Plasticizer,C_Gliserol,3,4.888888888888886,0.0838870492807881,0.0484322104837864,4.799999999999996,4.966666666666667
FTL,Formulation x Plasticizer,C_Sorbitol,3,2.7555555555555578,0.0838870492807876,0.0484322104837861,2.6666666666666687,2.8333333333333393
FTL,Formulation x Plasticizer,D_Gliserol,3,2.241666666666666,0.0721687836487032,0.0416666666666667,2.1999999999999966,2.3249999999999993
FTL,Formulation x Plasticizer,D_Sorbitol,3,2.975,0.0249999999999972,0.014433756729739,2.950000000000003,2.9999999999999973
