Formulation,Replicate,CMC,PVA,Plasticizer,source_file,source_sheet,source_block,source_row,FTL,Standardized_Resid,Studentized_Resid,Leverage,Cooks_D,Flagged_Outlier
J,1.0,3.0,1.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,31,9.949999999999992,0.31312209420626025,0.3101601690596982,0.33333333333333365,0.0020426134558357138,False
J,2.0,3.0,1.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,32,9.849999999999998,-0.6262441884110689,-0.6222336561857325,0.33333333333333365,0.008170453823304977,False
J,3.0,3.0,1.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,33,9.949999999999998,0.3131220942063104,0.31016016905974786,0.33333333333333365,0.0020426134558363678,False
K,1.0,3.0,2.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,34,4.019999999999997,0.12524883768291295,0.12395755283205588,0.33333333333333387,0.0003268181529358482,False
K,2.0,3.0,2.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,35,4.019999999999997,0.12524883768291295,0.12395755283205588,0.33333333333333387,0.0003268181529358482,False
K,3.0,3.0,2.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,36,3.979999999999997,-0.25049767536404044,-0.24803676963151486,0.33333333333333387,0.0013072726117247574,False
L,1.0,3.0,3.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,37,3.4499999999999975,0.31312209420609344,0.310160169059533,0.333333333333334,0.0020426134558335406,False
L,2.0,3.0,3.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,38,3.4999999999999996,0.782805235514804,0.7796004002912497,0.333333333333334,0.012766334098945615,False
L,3.0,3.0,3.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,39,3.300000000000003,-1.0959273297199295,-1.0982789575362684,0.333333333333334,0.02502201483389705,False
A,1.0,1.0,0.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,44,14.399999999999991,0.6262441884112859,0.6222336561859466,0.33333333333333404,0.008170453823310655,False
A,2.0,1.0,0.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,45,13.900000000000023,-4.070587224675328,-4.977732971181407,0.33333333333333404,0.3452016740352092,True
