Formulation,Replicate,CMC,PVA,Plasticizer,source_file,source_sheet,source_block,source_row,Opasitas,Standardized_Resid,Studentized_Resid,Leverage,Cooks_D,Flagged_Outlier
D,3,1,3,Gliserol,pengujian (ANOVA)_Opasitas,Opasitas,Gliserol,38,0.9333333333333336,-3.1886807102667127,-3.583820102095325,0.11728395061728397,0.22515851837822093,True
F,1,2,1,Gliserol,pengujian (ANOVA)_Opasitas,Opasitas,Gliserol,39,1.8367346938775508,0.36849066485461035,0.3649243083660908,0.13580246913580243,0.003556283502226,False
F,2,2,1,Gliserol,pengujian (ANOVA)_Opasitas,Opasitas,Gliserol,40,1.857142857142857,0.4888097458633763,0.48463635404760586,0.13580246913580243,0.006257820581336197,False
F,3,2,1,Gliserol,pengujian (ANOVA)_Opasitas,Opasitas,Gliserol,41,1.8163265306122447,0.24817158384584448,0.24556673463504014,0.13580246913580243,0.0016130487745573928,False
G,1,2,2,Gliserol,pengujian (ANOVA)_Opasitas,Opasitas,Gliserol,42,1.9166666666666667,0.09069225308658202,0.08968709688077975,0.11265432098765431,0.0001740380255664368,False
G,2,2,2,Gliserol,pengujian (ANOVA)_Opasitas,Opasitas,Gliserol,43,1.9583333333333333,0.3331183869879964,0.32980316747443866,0.11265432098765431,0.0023480155831050345,False
G,3,2,2,Gliserol,pengujian (ANOVA)_Opasitas,Opasitas,Gliserol,44,1.875,-0.15173388081483366,-0.1500768735066984,0.11265432098765431,0.00048715694285811605,False
H,1,2,3,Gliserol,pengujian (ANOVA)_Opasitas,Opasitas,Gliserol,45,2.035714285714285,0.6354026202628988,0.6311405779658914,0.11265432098765431,0.008542830074810985,False
H,2,2,3,Gliserol,pengujian (ANOVA)_Opasitas,Opasitas,Gliserol,46,2.057142857142857,0.7600789176979146,0.7564576202181426,0.11265432098765431,0.012224219467363713,False
H,3,2,3,Gliserol,pengujian (ANOVA)_Opasitas,Opasitas,Gliserol,47,2.014285714285714,0.5107263228278858,0.5064897653875653,0.11265432098765431,0.005519252321315491,False
J,1,3,1,Gliserol,pengujian (ANOVA)_Opasitas,Opasitas,Gliserol,48,2.26027397260274,0.05978294367095596,0.059117304514918236,0.1126543209876543,7.562377560562972e-05,False
J,2,3,1,Gliserol,pengujian (ANOVA)_Opasitas,Opasitas,Gliserol,49,2.301369863013699,0.29888817162851716,0.2958423336086663,0.1126543209876543,0.0018902585962837582,False
J,3,3,1,Gliserol,pengujian (ANOVA)_Opasitas,Opasitas,Gliserol,50,2.219178082191781,-0.17932228428660524,-0.177382009353753,0.1126543209876543,0.0006804125101011367,False
K,1,3,2,Gliserol,pengujian (ANOVA)_Opasitas,Opasitas,Gliserol,51,2.424242424242424,0.2764882387250872,0.27363140823719256,0.11728395061728394,0.0016928545185462883,False
K,2,3,2,Gliserol,pengujian (ANOVA)_Opasitas,Opasitas,Gliserol,52,2.4494949494949494,0.42379795713902735,0.4199014322038372,0.11728395061728394,0.003977260444089795,False
K,3,3,2,Gliserol,pengujian (ANOVA)_Opasitas,Opasitas,Gliserol,53,2.398989898989899,0.12917852031114951,0.12775882981717732,0.11728395061728394,0.0003695276364636168,False
L,1,3,3,Gliserol,pengujian (ANOVA)_Opasitas,Opasitas,Gliserol,54,2.592592592592593,1.1102298624568234,1.1131762197065493,0.11728395061728393,0.0272955671355793,False
L,2,3,3,Gliserol,pengujian (ANOVA)_Opasitas,Opasitas,Gliserol,55,2.638888888888889,1.3802976795490416,1.394719171398003,0.11728395061728393,0.04219022377529242,False
L,3,3,3,Gliserol,pengujian (ANOVA)_Opasitas,Opasitas,Gliserol,56,2.5462962962962967,0.8401620453646028,0.837367921478444,0.11728395061728393,0.015631203947498163,False
