Formulation,Replicate,CMC,PVA,Plasticizer,source_file,source_sheet,source_block,source_row,Solubilitas,Standardized_Resid,Studentized_Resid,Leverage,Cooks_D,Flagged_Outlier
D,2,1,3,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,37,0.5352112676056318,-0.36530478144611567,-0.3617598336579848,0.11728395061728397,0.002955132964569339,False
D,3,1,3,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,38,0.5384615384615409,-0.30462810541020147,-0.30153540380158556,0.11728395061728397,0.0020549736241379578,False
F,1,2,1,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,39,0.6449704142011845,-0.3062375962282582,-0.30313187280059367,0.13580246913580243,0.0024561812351911387,False
F,2,2,1,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,40,0.6449704142011832,-0.30623759622828334,-0.3031318728006185,0.13580246913580243,0.002456181235191542,False
F,3,2,1,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,41,0.6529411764705899,-0.1558520543686801,-0.15415224533494948,0.13580246913580243,0.0006361630746674241,False
G,1,2,2,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,42,0.562500000000001,-0.42367703362365483,-0.4197811405910528,0.11265432098765431,0.003798163102571068,False
G,2,2,2,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,43,0.5555555555555551,-0.5529786124087093,-0.5486672241183873,0.11265432098765431,0.006470240649868605,False
G,3,2,2,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,44,0.5432098765432081,-0.7828480858043406,-0.7794265715677747,0.11265432098765431,0.012967574538454775,False
H,1,2,3,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,45,0.513513513513516,0.10049461335221269,0.09938288594177778,0.11265432098765431,0.00021369252574932832,False
H,2,2,3,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,46,0.5256410256410267,0.32630194428653714,0.32303838943354957,0.11265432098765431,0.002252906085709486,False
H,3,2,3,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,47,0.5263157894736837,0.338865660443759,0.33550767681987614,0.11265432098765431,0.0024297348740414206,False
J,1,3,1,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,48,0.6648936170212769,1.0822882290302258,1.0844017644816932,0.1126543209876543,0.024785040632147506,False
J,2,3,1,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,49,0.6631016042780752,1.0489219779567882,1.0501188087346889,0.1126543209876543,0.023280383784457095,False
J,3,3,1,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,50,0.6648936170212769,1.0822882290302258,1.0844017644816932,0.1126543209876543,0.024785040632147506,False
K,1,3,2,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,51,0.5094339622641505,-0.39923270781673,-0.39547285659538045,0.11728395061728394,0.0035295435254346056,False
K,2,3,2,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,52,0.5096774193548411,-0.39468780443010154,-0.3909550260961893,0.11728395061728394,0.0034496396227869782,False
K,3,3,2,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,53,0.5031055900621114,-0.5173719666541006,-0.5131194647365629,0.11728395061728394,0.005927507326003616,False
L,1,3,3,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,54,0.5531914893617017,1.8576746457322866,1.9116812009318247,0.11728395061728393,0.07641975139689386,False
L,2,3,3,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,55,0.5543478260869573,1.8792613601869317,1.9357755705473487,0.11728395061728393,0.07820610948477981,False
L,3,3,3,Gliserol,pengujian (ANOVA)_Solubilitas,Solubilitas,Gliserol,56,0.5473684210526347,1.74896849631034,1.7913826721785064,0.11728395061728393,0.06773767508232516,False
