Formulation,Replicate,CMC,PVA,Plasticizer,source_file,source_sheet,source_block,source_row,Elongasi,Standardized_Resid,Studentized_Resid,Leverage,Cooks_D,Flagged_Outlier
D,2,1,3,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,38,227.22222222222223,0.8212399861671785,0.8182184831524142,0.11728395061728397,0.014935043336500567,False
D,3,1,3,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,39,323.11111111111114,2.545074553251564,2.72000108085662,0.11728395061728397,0.14343902698200972,True
F,1,2,1,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,40,128.66666666666666,1.0485438720329412,1.0497307895576167,0.13580246913580243,0.028794968493705136,False
F,2,2,1,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,41,161.11111111111111,1.638027356174585,1.670285606601543,0.13580246913580243,0.0702725471793793,False
F,3,2,1,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,42,128.66666666666666,1.0485438720329412,1.0497307895576167,0.13580246913580243,0.028794968493705136,False
G,1,2,2,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,43,42.55555555555555,-0.3792205850610853,-0.37558396494673657,0.11265432098765431,0.003042899248054273,False
G,2,2,2,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,44,56.99999999999999,-0.12022507587096733,-0.11890083386989402,0.11265432098765431,0.0003058397180803272,False
G,3,2,2,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,45,51.11111111111111,-0.2258155526946308,-0.22341901647986276,0.11265432098765431,0.0010789752058640739,False
H,1,2,3,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,46,113.33333333333331,-0.7256547490632517,-0.7217820723292964,0.11265432098765431,0.011142017821210928,False
H,2,2,3,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,47,72.88888888888889,-1.450842174795582,-1.469409642307562,0.11265432098765431,0.04453937396524258,False
H,3,2,3,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,48,97.0,-1.0185189017628462,-1.0189518253990069,0.11265432098765431,0.021950375358584982,False
J,1,3,1,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,49,63.66666666666666,0.295495920931633,0.29247808640423556,0.1126543209876543,0.001847594860280601,False
J,2,3,1,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,50,36.666666666666664,-0.18862645393912597,-0.18659261038322414,0.1126543209876543,0.00075285088584707,False
J,3,3,1,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,51,91.11111111111111,0.7875873883928576,0.7842109109666527,0.1126543209876543,0.013125059213898598,False
K,1,3,2,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,52,45.55555555555556,0.10103357826337636,0.09991600913368667,0.11728395061728394,0.00022604649743279034,False
K,2,3,2,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,53,28.88888888888889,-0.19859004289845195,-0.19645719651755414,0.11728395061728394,0.0008733357781232758,False
K,3,3,2,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,54,45.888888888888886,0.10702605068661285,0.1058436632619967,0.11728395061728394,0.00025365610138216205,False
L,1,3,3,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,55,53.0,-1.3848776392762092,-1.3995526434891035,0.11728395061728393,0.04247067067549845,False
L,2,3,3,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,56,53.666666666666664,-1.372892694429736,-1.3869087967163611,0.11728395061728393,0.04173875601159936,False
L,3,3,3,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,57,65.55555555555556,-1.1591611780009652,-1.1637145853462423,0.11728395061728393,0.029754589854437196,False
