Formulation,Replicate,CMC,PVA,Plasticizer,source_file,source_sheet,source_block,source_row,UTS,Standardized_Resid,Studentized_Resid,Leverage,Cooks_D,Flagged_Outlier
D,2,1,3,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,38,3.3333333333333335,1.1716340028624634,1.1766282407872046,0.11728395061728397,0.030398366546161848,False
D,3,1,3,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,39,2.6666666666666665,0.32018638411456307,0.3169700379049887,0.11728395061728397,0.0022702413646559587,False
F,1,2,1,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,40,2.1052631578947367,1.39907506488475,1.4145495398840082,0.13580246913580243,0.05126552716429747,False
F,2,2,1,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,41,2.1052631578947367,1.39907506488475,1.4145495398840082,0.13580246913580243,0.05126552716429747,False
F,3,2,1,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,42,2.1052631578947367,1.39907506488475,1.4145495398840082,0.13580246913580243,0.05126552716429747,False
G,1,2,2,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,43,0.8333333333333334,-0.364145971086809,-0.36060887153346227,0.11265432098765431,0.002805787548663514,False
G,2,2,2,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,44,1.6666666666666667,0.6973834617744062,0.6933481292756235,0.11265432098765431,0.010290750600353967,False
G,3,2,2,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,45,0.8333333333333334,-0.364145971086809,-0.36060887153346227,0.11265432098765431,0.002805787548663514,False
H,1,2,3,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,46,2.142857142857143,-0.11123294987940968,-0.1100052086438945,0.11265432098765431,0.00026180062235880996,False
H,2,2,3,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,47,1.4285714285714284,-1.0211153209033086,-1.0216108817250413,0.11265432098765431,0.02206243025988205,False
H,3,2,3,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,48,2.142857142857143,-0.11123294987940968,-0.11000520864389451,0.11265432098765431,0.00026180062235880996,False
J,1,3,1,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,49,1.36986301369863,0.7786473912839558,0.7751869616069977,0.1126543209876543,0.012828782167128,False
J,2,3,1,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,50,1.36986301369863,0.7786473912839558,0.7751869616069977,0.1126543209876543,0.012828782167128,False
J,3,3,1,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,51,1.36986301369863,0.7786473912839558,0.7751869616069977,0.1126543209876543,0.012828782167128,False
K,1,3,2,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,52,0.5050505050505051,-0.44877608248398443,-0.4447580528396511,0.11728395061728394,0.004459906144503225,False
K,2,3,2,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,53,0.5050505050505051,-0.44877608248398443,-0.4447580528396511,0.11728395061728394,0.004459906144503225,False
K,3,3,2,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,54,0.5050505050505051,-0.44877608248398443,-0.4447580528396511,0.11728395061728394,0.004459906144503225,False
L,1,3,3,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,55,0.9259259259259258,-1.330157026808846,-1.3419403337795668,0.11728395061728393,0.039180695341969725,False
L,2,3,3,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,56,0.9259259259259258,-1.330157026808846,-1.3419403337795668,0.11728395061728393,0.039180695341969725,False
L,3,3,3,Gliserol,pengujian (ANOVA)_UTS_&_elong,UTS & elong,Gliserol,57,0.9259259259259258,-1.330157026808846,-1.3419403337795668,0.11728395061728393,0.039180695341969725,False
