Formulation,Replicate,CMC,PVA,Plasticizer,source_file,source_sheet,source_block,source_row,Kelarutan,Standardized_Resid,Studentized_Resid,Leverage,Cooks_D,Flagged_Outlier
J,2.0,3.0,1.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,32,90.15,0.626244188416625,0.6222336561912531,0.33333333333333365,0.008170453823449955,False
J,3.0,3.0,1.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,33,90.05,-0.313122094200837,-0.31016016905432636,0.33333333333333365,0.0020426134557649574,False
K,1.0,3.0,2.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,34,95.98,-0.1252488376772645,-0.12395755282646564,0.33333333333333387,0.0003268181529063706,False
K,2.0,3.0,2.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,35,95.98,-0.1252488376772645,-0.12395755282646564,0.33333333333333387,0.0003268181529063706,False
K,3.0,3.0,2.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,36,96.02,0.25049767536961354,0.24803676963703314,0.33333333333333387,0.001307272611782926,False
L,1.0,3.0,3.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,37,96.55,-0.3131220942012375,-0.310160169054723,0.333333333333334,0.0020426134557701863,False
L,2.0,3.0,3.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,38,96.5,-0.7828052355099018,-0.7796004002863675,0.333333333333334,0.01276633409878572,False
L,3.0,3.0,3.0,Sorbitol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Sorbitol,39,96.7,1.095927329724889,1.0982789575412397,0.333333333333334,0.025022014834123522,False
A,1.0,1.0,0.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,44,85.60000000000001,-0.6262441884087492,-0.6222336561834262,0.33333333333333404,0.008170453823244463,False
A,2.0,1.0,0.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,45,86.09999999999998,4.070587224677895,4.977732971184545,0.33333333333333404,0.3452016740356445,True
A,3.0,1.0,0.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,46,85.29999999999998,-3.4443430362611362,-3.9280976671943537,0.33333333333333404,0.24715622815501292,True
B,1.0,1.0,1.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,47,91.8,-0.31312209420243875,-0.31016016905591287,0.33333333333333337,0.002042613455785853,False
B,2.0,1.0,1.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,48,91.7,-1.252488376819767,-1.2601357668306477,0.33333333333333337,0.03268181529309615,False
B,3.0,1.0,1.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,49,92.0,1.5656104710323513,1.5903542431533835,0.33333333333333337,0.05106533639596129,False
C,1.0,1.0,2.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,50,95.2,0.8349922512187845,0.8323155435340459,0.333333333333333,0.0145252512415711,False
C,2.0,1.0,2.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,51,95.1,-0.10437403139867703,-0.10329280166588249,0.333333333333333,0.00022695705063358336,False
C,3.0,1.0,2.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,52,95.03333333333332,-0.7306182198103626,-0.7270214232188575,0.333333333333333,0.01112089548164297,False
D,1.0,1.0,3.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,53,97.8,0.3914026177599567,0.38792358807672905,0.3333333333333333,0.0031915835247780574,False
D,2.0,1.0,3.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,54,97.8,0.3914026177599567,0.38792358807672905,0.3333333333333333,0.0031915835247780574,False
D,3.0,1.0,3.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,55,97.675,-0.7828052355117703,-0.7796004002882283,0.3333333333333333,0.012766334098846626,False
E,1.0,2.0,0.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,56,95.4,-0.3131220942028391,-0.3101601690563093,0.33333333333333254,0.002042613455791069,False
