Formulation,Replicate,CMC,PVA,Plasticizer,source_file,source_sheet,source_block,source_row,WVTR,Standardized_Resid,Studentized_Resid,Leverage,Cooks_D,Flagged_Outlier
F,1,2,1,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,39,13.7140429612934,-0.04244144877416031,-0.041968067723585224,0.13580246913580243,4.717629122511049e-05,False
F,2,2,1,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,40,12.27045949168222,-1.2272927068721668,-1.234414605816487,0.13580246913580243,0.03944933636132788,False
F,3,2,1,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,41,13.772207898272072,0.00529863706578988,0.00523943419324226,0.13580246913580243,7.353121483442527e-07,False
G,1,2,2,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,42,12.118887521193257,-0.19261785844940044,-0.19054420227878296,0.11265432098765431,0.0007850491813725297,False
G,2,2,2,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,43,10.82687602207104,-1.239139957976171,-1.2467494785192839,0.11265432098765431,0.03248960927190801,False
G,3,2,2,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,44,12.27045949168222,-0.06984540875116894,-0.06906873254739378,0.11265432098765431,0.00010322371652872586,False
H,1,2,3,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,45,10.105084287262883,-0.08938509247289027,-0.08839419249737178,0.11265432098765431,0.0001690573093380468,False
H,2,2,3,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,46,11.017766318618635,0.6498822563887078,0.6456578238502038,0.11265432098765431,0.008936616563283506,False
H,3,2,3,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,47,10.60402658104746,0.31475537933319353,0.311581623465969,0.11265432098765431,0.002096283844579804,False
J,1,3,1,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,48,12.992251226485246,0.5118524126006824,0.5076130466856608,0.1126543209876543,0.005543617720815986,False
J,2,3,1,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,49,14.435834696096428,1.6811469618256873,1.7171606786202087,0.1126543209876543,0.05980191966077359,False
J,3,3,1,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,50,13.083597503359936,0.5858423867795511,0.5815182970253274,0.1126543209876543,0.007262152190368683,False
K,1,3,2,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,51,10.60402658104746,-0.2819994799874989,-0.2790952656271231,0.11728395061728394,0.0017610144843253803,False
K,2,3,2,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,52,10.82687602206591,-0.10101993922090846,-0.0999025178978972,0.11728395061728394,0.0002259854711931524,False
K,3,3,2,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,53,9.383292552459858,-1.2733768102705167,-1.2824662714435664,0.11728395061728394,0.03590708801603683,False
L,1,3,3,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,54,10.329155923701608,1.233718179612312,1.2411030014948385,0.11728395061728393,0.03370530348183265,False
L,2,3,3,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,55,11.361457051120356,2.0720661831758966,2.1542587082817892,0.11728395061728393,0.09507658168037461,True
L,3,3,3,Gliserol,pengujian (ANOVA)_WVTR,WVTR,Gliserol,56,10.105084287268014,1.0517460747004004,1.0530172810947436,0.11728395061728393,0.024495601756767245,False
